Field_Name,Description,Data_Type,New_Field,Used_In_Model,Source
Proposed_Total_Revenue,Sum of proposed room + meeting + F&B revenue,Currency,No,All models,Derived
Actual_Room_Nights,Actual room nights consumed (booked only),Integer,No,Pickup,Original
Actual_Room_Revenue,Actual room revenue realized (booked only),Currency,No,ADR/Pickup,Original
Actual_Meeting_Revenue,Actual meeting room revenue realized (booked only),Currency,No,Conversion/F&B,Original
Actual_FnB_Revenue,Actual F&B revenue realized (booked only),Currency,No,F&B,Original
Actual_Total_Revenue,Sum of actual room + meeting + F&B revenue (booked only),Currency,No,All models,Original
Lost_Reason,"Reason for lost business (lost events only); e.g. Rates Too High / Client Declined, Dates Not Available, Space Not Adequate",Text,No,Conversion,Original
Year,Arrival year (derived from Arrival_Date),Integer,Yes,All models (temporal),Derived
Month,Arrival month 1–12 (derived from Arrival_Date),Integer,Yes,All models (temporal),Derived
Min_Room_Rate,Lowest nightly room rate in the block,Currency,Yes,ADR/Pickup,Room grid
Max_Room_Rate,Highest nightly room rate in the block,Currency,Yes,ADR/Pickup,Room grid
Suite_Rate,Rate for suite room type (equals Max_Room_Rate when suites present),Currency,Yes,ADR/Pickup,Room grid
Standard_Rate,Rate for standard room type (equals Min_Room_Rate),Currency,Yes,ADR/Pickup,Room grid
Peak_Night_Index,Night index (1-based) with highest room block,Integer,Yes,Pickup/Conversion,Room grid
Rooms_Night_1,Rooms on books for night 1 of the block,Integer,Yes,Pickup,Room grid
Rooms_Night_2,Rooms on books for night 2 of the block (0 if 1-night event),Integer,Yes,Pickup,Room grid
Rooms_Night_3,Rooms on books for night 3 of the block (0 if ≤2 nights),Integer,Yes,Pickup,Room grid
Rooms_Night_4,Rooms on books for night 4 of the block (0 if ≤3 nights),Integer,Yes,Pickup,Room grid
Num_Meeting_Days,Number of distinct days with meeting space usage,Integer,Yes,Conversion/F&B,Meeting grid
ADR_Discount_Pct,"% discount from baseline ADR; positive = below market, negative = premium",Float,Yes,ADR/Conversion,Derived
Revenue_Per_Room_Night,Proposed total revenue ÷ total room nights; CPOR efficiency indicator,Currency,Yes,All models,Derived
Rooms_Per_Attendee,Peak room block ÷ attendees; group sleep pattern proxy,Float,Yes,Pickup/F&B,Derived
Meeting_Space_Ratio,Meeting rooms per 10 attendees; density / space utilization indicator,Float,Yes,Conversion,Derived
Demand_Tier,Low / Shoulder / Peak based on Forecasted_Occupancy thresholds,Text,Yes,All models,Derived
Is_Compression_Date,1 if Forecasted_Occupancy ≥ 85%; high-demand date flag,Integer,Yes,ADR/Conversion,Derived
Day_of_Week_Arrival,Numeric day of week for arrival date (0=Mon … 6=Sun),Integer,Yes,Pickup/Conversion,Derived
Arrival_DOW_Name,Short day-of-week label: Mon / Tue / … / Sun,Text,No,,Derived
Is_Weekend_Arrival,1 if arrival is Friday–Sunday; correlates with leisure/SMERF demand,Integer,Yes,Pickup/Conversion,Derived
Is_Repeat_Client,1 if Lead_Source = Repeat Client; mirrors CRM returning-client flag,Integer,Yes,Conversion,Derived
Flag_Missing_Rate_Target,1 if Budget_Provided = 0 and Budget_Amount = 0; key APIT completeness flag,Integer,Yes,All models,Derived
Flag_Short_Response_Window,1 if Response_Due_Days ≤ 5; urgency alert,Integer,Yes,Conversion,Derived
Flag_Rate_Below_Baseline,1 if Quoted_ADR < Baseline_ADR × 0.97; rate-risk alert,Integer,Yes,ADR/Conversion,Derived
Account_Prior_Events,Count of all events from same account with earlier Arrival_Date,Integer,Yes,Conversion,CRM-Derived
Account_Prior_Booked,Count of prior booked (won) events for this account,Integer,Yes,Conversion,CRM-Derived
Account_Prior_Revenue,Sum of Actual_Total_Revenue from prior booked events for this account,Currency,Yes,Conversion,CRM-Derived
Account_Win_Rate,Account_Prior_Booked ÷ Account_Prior_Events; NaN if first-time account,Float,Yes,Conversion,CRM-Derived
Is_First_Time_Account,1 if no prior events exist for this account; CRM new-business flag,Integer,Yes,Conversion,CRM-Derived
Has_Prior_Decline,1 if account has any prior Lost event; turn-down history flag,Integer,Yes,Conversion,CRM-Derived
Rooms_Available_Peak_Date,220 minus Group_Rooms already committed on the peak event date,Integer,Yes,Pickup/Displacement,PMS-Derived
Displacement_Risk_Score,Peak_Room_Block ÷ Rooms_Available_Peak_Date; 0–1 scale,Float,Yes,Displacement,PMS-Derived
Displacement_Risk_Level,Low / Moderate / High displacement risk tier,Text,Yes,Displacement,PMS-Derived
Flag_High_Displacement,1 if Displacement_Risk_Level = High (score ≥ 0.60),Integer,Yes,Displacement,PMS-Derived
Flag_Date_Conflict,1 if Rooms_Available_Peak_Date < Peak_Room_Block; capacity conflict alert,Integer,Yes,Displacement,PMS-Derived
Completeness_Score,% of 15 key APIT fields populated; drives uncertainty-handler flag,Float,Yes,All models,Derived
Urgency_Index,Response_Due_Days ÷ Lead_Time; high = must-respond-fast relative to event,Float,Yes,Conversion,Derived
