RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization,ADR_Discount_Pct,Revenue_Per_Room_Night,Rooms_Per_Attendee,Meeting_Space_Ratio,Demand_Tier,Is_Compression_Date,Day_of_Week_Arrival,Arrival_DOW_Name,Is_Weekend_Arrival,Is_Repeat_Client,Flag_Missing_Rate_Target,Flag_Short_Response_Window,Flag_Rate_Below_Baseline,Account_Prior_Events,Account_Prior_Booked,Account_Prior_Revenue,Account_Win_Rate,Is_First_Time_Account,Has_Prior_Decline,Rooms_Available_Peak_Date,Displacement_Risk_Score,Displacement_Risk_Level,Flag_High_Displacement,Flag_Date_Conflict,Completeness_Score,Urgency_Index
L-202302-85454,Lost,Global Industries,New Hire Orientation,Corporate,In-person,Full Package,Other,Other,Third-Party Planner,Medium,2022-12-03,2022-12-20,10,2023-02-14,2023-02-16,2,73,47,94,61,1,Half Ballroom,1,1,7,0.0,0.0,4,52.0,145.36,116.36,10937.84,5068.43,7320.72,23326.99,0,0.0,0.0,0.0,0.0,,0.0,Client Went Direct,2023,2,4,58.8,41.2,1,112.24,108.79,221.03,155.98,127.39,2,2.1,46,47,0,0,2,2,1,8,1,0,1,Classroom,2,0,1.72,1548.59,216,1728,4033.01,2,0,0,0,100.0,0.51,19.95,248.16,0.77,0.328,Low,0,1,Tue,0,0,1,0,1,3,2,43861.5,0.6667,0,1,27,1.0,High,1,1,93.3,0.0959
L-202302-23006,Lost,Manufacturing Alliance,Regional Team Meeting,Corporate,In-person,Full Package,Legal,Legal,Website,Medium,2022-12-15,2023-01-04,9,2023-02-20,2023-02-21,1,67,23,23,29,1,Breakout Room,1,0,11,0.0,0.0,3,52.3,150.5,122.04,2806.92,2712.74,1417.79,6937.45,0,0.0,0.0,0.0,0.0,,0.0,Space Not Adequate,2023,2,4,67.8,32.2,1,112.66,128.67,241.33,146.61,128.67,1,0.0,23,0,0,0,1,8,3,24,0,0,1,Classroom,0,0,0.44,399.15,0,0,767.51,0,0,0,0,0.0,0.72,18.91,301.63,0.793,0.345,Low,0,0,Mon,0,0,1,0,1,1,0,0.0,0.0,0,1,186,0.124,Low,0,0,93.3,0.1642
L-202302-25157,Lost,Legal Society,Leadership Institute,Association,In-person,Full Package,Other,Other,RFP,Low,2022-05-31,2022-07-03,20,2023-02-20,2023-02-23,3,265,120,360,164,1,Grand Ballroom,1,0,13,1.0,47285.44,2,55.2,152.66,124.55,44838.0,9219.37,27359.41,81416.78,0,0.0,0.0,0.0,0.0,,0.0,Dates Not Available,2023,2,3,63.8,36.2,0,129.16,101.74,230.9,0.0,101.74,2,4.1,114,120,108,0,2,1,1,8,1,0,1,Classroom,2,0,1.96,3033.61,1371,2373,8636.66,3,0,0,0,0.0,0.68,18.41,226.16,0.732,0.122,Low,0,0,Mon,0,0,0,0,1,3,3,60548.17,1.0,0,0,152,0.789,High,1,0,100.0,0.0491
L-202302-74340,Lost,Manufacturing Alliance,Customer Advisory Board,Corporate,Virtual,Full Package,Legal,Legal,RFP,Low,2023-01-18,2023-02-10,12,2023-02-21,2023-02-23,2,34,56,112,76,1,Half Ballroom,1,1,11,1.0,9108.06,3,53.9,160.35,131.7,14750.4,5304.4,8284.01,28338.81,0,0.0,0.0,0.0,0.0,,0.0,Space Not Adequate,2023,2,2,59.6,40.4,1,79.39,137.89,217.28,217.28,137.89,2,16.1,47,56,0,0,1,2,3,36,1,0,1,Classroom,2,0,1.58,1243.69,1469,318,2866.5,1,0,0,0,0.0,0.63,17.87,253.03,0.737,0.132,Low,0,1,Tue,0,0,0,0,1,2,0,0.0,0.0,0,1,220,0.255,Moderate,0,0,100.0,0.3235
L-202302-70552,Lost,Technology Innovators,Leadership Summit,Corporate,In-person,Full Package,Finance,Finance,RFP,Low,2022-11-25,2022-12-17,9,2023-02-22,2023-02-23,1,89,40,40,44,1,Half Ballroom,1,0,13,0.0,0.0,1,54.1,148.76,118.6,4744.0,2685.6,1828.13,9257.73,0,0.0,0.0,0.0,0.0,,0.0,Lost to Competition,2023,2,3,63.6,36.4,1,112.88,132.08,244.96,148.63,148.63,1,0.0,40,0,0,0,1,2,1,8,1,0,1,Banquet,2,0,2.35,977.63,1118,0,3609.87,0,0,0,0,0.0,0.37,20.27,231.44,0.909,0.227,Low,0,2,Wed,0,0,1,0,1,2,2,49069.87,1.0,0,0,220,0.182,Low,0,0,93.3,0.1461
L-202302-45325,Lost,Financial Services Group,Leadership Summit,Corporate,In-person,Full Package,Finance,Finance,Cvent,High,2022-11-15,2022-12-03,8,2023-02-25,2023-02-26,1,102,62,62,68,1,Half Ballroom,1,1,10,0.0,0.0,4,54.4,154.32,133.75,8292.5,2658.57,3413.59,14364.66,0,0.0,0.0,0.0,0.0,,0.0,Canceled by Client,2023,2,2,51.8,48.2,1,61.91,130.35,192.26,192.26,192.26,1,0.0,62,0,0,0,2,5,3,36,1,0,1,Classroom,3,1,2.53,1495.39,152,3900,5447.52,4,1,1,1,100.0,0.57,13.33,231.69,0.912,0.294,Low,0,5,Sat,1,0,1,0,1,4,3,15722.59,0.75,0,1,177,0.35,Moderate,0,0,93.3,0.098
L-202302-90301,Lost,Professional Services Group,Product Launch Event,Corporate,Hybrid,Rooms Only,Professional Services,Professional Services,Website,Medium,2022-12-18,2023-01-01,7,2023-02-25,2023-02-26,1,69,50,50,55,0,,0,0,7,0.0,0.0,4,62.6,149.51,128.48,6424.0,0.0,0.0,6424.0,0,0.0,0.0,0.0,0.0,,0.0,Client Went Direct,2023,2,4,73.4,26.6,1,92.23,113.85,206.08,206.08,113.85,1,0.0,50,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,14.07,128.48,0.909,0.0,Shoulder,0,5,Sat,1,0,1,0,1,1,1,7448.51,1.0,0,0,177,0.282,Moderate,0,0,93.3,0.1014
L-202302-15383,Lost,Professional Services Group,New Hire Orientation,Corporate,Hybrid,Full Package,Professional Services,Professional Services,Sales Call,Medium,2022-10-20,2022-11-15,13,2023-02-26,2023-02-27,1,129,50,50,62,1,Half Ballroom,1,1,13,0.0,0.0,1,56.8,157.13,113.13,5656.5,2406.15,2890.97,10953.62,0,0.0,0.0,0.0,0.0,,0.0,Lost to Competition,2023,2,4,63.9,36.1,1,67.85,92.75,160.6,160.6,92.75,1,0.0,50,0,0,0,1,2,1,8,1,0,1,Classroom,2,0,2.41,1011.73,932,2052,4003.58,2,0,0,0,100.0,0.52,28.0,219.07,0.806,0.161,Low,0,6,Sun,1,0,1,0,1,2,1,7448.51,0.5,0,1,67,0.746,High,1,0,93.3,0.1008
L-202303-52823,Lost,Pharmaceutical Partners,Sales Kickoff,Corporate,In-person,Full Package,Government,Government,Repeat Client,Medium,2022-12-25,2023-01-19,12,2023-03-03,2023-03-04,1,68,65,65,74,1,Half Ballroom,1,1,13,1.0,33823.0,4,79.0,190.08,186.89,12147.85,2773.64,4142.26,19063.75,0,0.0,0.0,0.0,0.0,,0.0,Canceled by Client,2023,3,4,53.7,46.3,1,71.71,137.3,209.01,209.01,137.3,1,0.0,65,0,0,0,1,1,1,8,1,0,1,Classroom,3,1,2.54,963.64,840,1504,2808.01,2,0,0,0,100.0,0.62,1.68,293.29,0.878,0.135,Peak,0,4,Fri,1,1,0,0,0,3,3,24711.46,1.0,0,0,156,0.417,Moderate,0,0,100.0,0.1912
L-202303-85248,Lost,Insurance Federation,Certification Training,Association,In-person,Full Package,Association,Association,Website,Medium,2022-06-05,2022-07-10,25,2023-03-04,2023-03-07,3,272,10,30,13,1,Boardroom,1,1,10,0.0,0.0,3,73.1,183.14,170.15,5104.5,3532.45,2550.64,11187.59,0,0.0,0.0,0.0,0.0,,0.0,Rates Too High / Client Declined,2023,3,2,51.2,48.8,1,89.03,132.42,221.45,221.45,132.42,2,37.4,1,10,7,0,1,4,3,24,0,1,1,Boardroom,3,1,2.59,395.26,247,8088,8736.73,3,0,0,0,50.0,0.93,7.09,372.92,0.769,0.769,Shoulder,0,5,Sat,1,0,1,0,1,2,2,28744.1,1.0,0,0,220,0.045,Low,0,0,93.3,0.0368
L-202303-63841,Lost,Industry Trade Group,Industry Forum,Association,Hybrid,Full Package,Education,Education,RFP,High,2022-07-08,2022-08-07,18,2023-03-08,2023-03-10,2,243,49,98,58,1,Half Ballroom,1,1,12,1.0,46716.38,2,62.3,150.52,121.33,11890.34,5036.74,5585.92,22513.0,0,0.0,0.0,0.0,0.0,,0.0,Budget Constraints,2023,3,4,71.8,28.2,1,118.46,112.31,230.77,194.23,112.31,2,18.4,40,49,0,0,1,1,2,8,1,0,1,Classroom,2,0,1.57,1264.15,1260,948,3609.87,2,0,0,0,0.0,0.48,19.39,229.72,0.845,0.172,Shoulder,0,2,Wed,0,0,0,0,1,1,1,37759.74,1.0,0,0,62,0.79,High,1,0,100.0,0.0494
L-202303-84000,Lost,TechCorp Solutions,Annual Sales Conference,Corporate,In-person,Full Package,Other,Other,Cvent,Low,2022-11-23,2022-12-09,9,2023-03-08,2023-03-09,1,105,21,21,23,1,Breakout Room,1,0,7,1.0,41701.94,2,62.3,161.79,134.02,2814.42,2464.33,1004.49,6283.24,0,0.0,0.0,0.0,0.0,,0.0,Dates Not Available,2023,3,4,71.3,28.7,1,91.54,121.5,213.04,213.04,131.02,1,0.0,21,0,0,0,1,2,2,24,0,0,1,Theater,0,0,0.08,450.24,0,4392,5139.62,3,0,0,0,100.0,0.57,17.16,299.2,0.913,0.435,Shoulder,0,2,Wed,0,0,0,0,1,1,1,6205.94,1.0,0,0,158,0.133,Low,0,0,100.0,0.0667
L-202303-25220,Lost,TechCorp Solutions,Strategic Planning Retreat,Corporate,In-person,Full Package,Other,Other,Third-Party Planner,Medium,2022-11-29,2022-12-18,8,2023-03-10,2023-03-12,2,101,89,178,104,1,Half Ballroom,1,1,11,0.0,0.0,3,66.3,167.61,152.68,27177.04,8450.62,11487.35,47115.01,0,0.0,0.0,0.0,0.0,,0.0,Canceled by Client,2023,3,3,70.6,29.4,1,32.98,121.5,154.48,154.48,121.5,2,12.4,78,89,0,0,1,1,2,16,1,0,1,Theater,2,0,2.15,1380.35,820,874,2848.61,2,0,0,0,0.0,0.87,8.91,264.69,0.856,0.096,Shoulder,0,4,Fri,1,0,1,0,1,2,1,6205.94,0.5,0,1,97,0.918,High,1,0,93.3,0.1089
L-202303-62262,Lost,Social Event,Retirement Party,Wedding/Social,In-person,Rooms Only,Social,Social/Private,RFP,High,2022-09-20,2022-11-05,39,2023-03-11,2023-03-12,1,172,14,14,15,0,,1,0,7,1.0,53633.61,1,58.8,161.35,135.4,1895.6,0.0,0.0,1895.6,0,0.0,0.0,0.0,0.0,,0.0,Chose Another Venue,2023,3,4,50.1,49.9,1,100.85,124.99,225.84,225.84,139.98,1,0.0,14,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,16.08,135.4,0.933,0.0,Low,0,5,Sat,1,0,0,0,1,3,3,11421.65,1.0,0,0,97,0.144,Low,0,0,100.0,0.0407
L-202303-30232,Lost,Banking Consortium,Annual Sales Conference,Corporate,Hybrid,Full Package,Legal,Legal,Third-Party Planner,Medium,2022-12-21,2023-01-11,11,2023-03-14,2023-03-16,2,83,46,92,57,1,Half Ballroom,1,0,10,1.0,19635.74,3,63.3,155.09,130.01,11960.92,4530.57,5403.95,21895.44,0,0.0,0.0,0.0,0.0,,0.0,Space Not Adequate,2023,3,3,72.8,27.2,0,120.78,110.76,231.54,0.0,110.76,2,17.4,38,46,0,0,1,3,2,16,1,0,1,Theater,3,1,2.96,1232.98,1126,840,2817.66,1,0,0,0,50.0,0.47,16.17,237.99,0.807,0.175,Shoulder,0,1,Tue,0,0,0,0,1,4,3,30851.22,0.75,0,1,70,0.657,High,1,0,100.0,0.1205
L-202303-83620,Lost,Education Foundation,Certification Training,Association,Hybrid,Full Package,Association,Association,Third-Party Planner,Low,2022-06-15,2022-07-19,27,2023-03-19,2023-03-21,2,277,80,160,104,1,Half Ballroom,1,1,7,0.0,0.0,1,62.2,160.33,125.94,20150.4,5901.99,13361.44,39413.83,0,0.0,0.0,0.0,0.0,,0.0,Client Went Direct,2023,3,4,74.3,25.7,1,141.01,106.48,247.49,165.01,114.42,2,5.0,76,80,0,0,2,7,3,24,1,0,1,Classroom,0,0,0.03,1356.94,0,7938,9197.85,3,0,0,0,0.0,0.87,21.45,246.34,0.769,0.192,Shoulder,0,6,Sun,1,0,1,0,1,4,4,94637.19,1.0,0,0,45,1.0,High,1,1,93.3,0.0253
L-202303-18799,Lost,Pharmaceutical Partners,Executive Offsite,Corporate,In-person,Full Package,Government,Government,Third-Party Planner,Medium,2022-12-26,2023-01-11,8,2023-03-22,2023-03-24,2,86,38,76,51,1,Half Ballroom,1,0,8,0.0,0.0,4,65.8,157.17,151.17,11488.92,5252.13,4588.13,21329.18,0,0.0,0.0,0.0,0.0,,0.0,Chose Another Venue,2023,3,3,66.5,33.5,1,92.68,121.06,213.74,213.74,139.78,2,26.3,28,38,0,0,1,2,1,4,1,0,1,Classroom,3,1,2.75,1298.92,44,6296,7486.59,4,1,0,1,0.0,0.42,3.82,280.65,0.745,0.196,Shoulder,0,2,Wed,0,0,1,0,1,6,5,56817.92,0.8333,0,1,220,0.173,Low,0,0,93.3,0.093
L-202303-27275,Lost,Heritage Travel,Historic Sites Tour,SMERF,In-person,Rooms Only,Association,Association,Sales Call,High,2023-02-05,2023-02-25,13,2023-03-22,2023-03-24,2,45,60,120,66,0,,1,1,7,0.0,0.0,1,61.3,153.56,125.52,15062.4,0.0,0.0,15062.4,0,0.0,0.0,0.0,0.0,,0.0,Lost to Competition,2023,3,4,73.0,27.0,1,87.49,126.49,213.98,213.98,126.49,2,11.7,53,60,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,18.26,125.52,0.909,0.0,Shoulder,0,2,Wed,0,0,1,0,1,1,1,1686.5,1.0,0,0,220,0.273,Moderate,0,0,93.3,0.1556
L-202303-10371,Lost,Legal Society,Industry Forum,Association,In-person,Full Package,Other,Other,Sales Call,High,2022-10-20,2022-11-21,23,2023-03-26,2023-03-28,2,157,108,216,146,1,Grand Ballroom,1,1,9,0.0,0.0,3,62.6,159.77,122.07,26367.12,7421.39,15727.87,49516.38,0,0.0,0.0,0.0,0.0,,0.0,Canceled by Client,2023,3,2,70.4,29.6,1,60.02,108.15,168.17,168.17,108.15,2,6.5,101,108,0,0,2,2,2,16,1,0,1,Classroom,2,0,1.98,2140.61,1176,1340,4219.94,2,0,0,0,50.0,0.61,23.6,229.24,0.74,0.137,Shoulder,0,6,Sun,1,0,1,0,1,4,3,60548.17,0.75,0,1,121,0.893,High,1,0,93.3,0.0573
L-202304-75410,Lost,Industry Trade Group,Educational Seminar Series,Association,Virtual,Full Package,Education,Education,RFP,Low,2022-08-11,2022-09-01,14,2023-04-01,2023-04-04,3,233,76,228,92,1,Half Ballroom,1,0,7,1.0,5974.5,4,73.7,169.56,163.75,37335.0,7010.72,13373.37,57719.09,0,0.0,0.0,0.0,0.0,,0.0,Chose Another Venue,2023,4,4,62.7,37.3,0,139.83,136.85,276.68,0.0,154.63,2,6.1,73,76,65,0,2,1,1,8,1,0,1,Classroom,0,0,0.07,1351.14,0,380,2783.63,1,0,0,0,0.0,0.77,3.43,253.15,0.826,0.217,Shoulder,0,5,Sat,1,0,0,0,1,2,1,37759.74,0.5,0,1,73,1.0,High,1,1,100.0,0.03
L-202304-90534,Lost,Volunteer Network,Charity Fundraiser,SMERF,In-person,Meeting Only,Education,Education,Cvent,Low,2023-01-03,2023-01-24,12,2023-04-05,2023-04-07,2,92,0,0,36,1,Breakout Room,0,0,9,0.0,0.0,4,80.1,166.48,0.0,0.0,3283.34,1617.5,4900.84,0,0.0,0.0,0.0,0.0,,0.0,Canceled by Client,2023,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,2,1,4,0,0,1,Classroom,3,1,2.85,488.31,215,3504,5232.72,3,0,0,0,50.0,0.9,100.0,,0.0,0.278,Peak,0,2,Wed,0,0,1,0,1,0,0,0.0,,1,0,65,0.0,Low,0,0,80.0,0.0978
