RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-202301-46265,Booked,State Medical Association,Continuing Education Conference,Association,In-person,Full Package,Healthcare,Healthcare,Repeat Client,High,2022-03-21,2022-04-29,28,2023-01-21,2023-01-23,2,306,83,166,91,1,Half Ballroom,1,0,11,0.0,0.0,2,47.4,152.24,137.92,22894.72,1152.53,6256.61,30303.86,106,14619.52,1152.53,5958.68,21730.73,0.6385542168674698,65.48,,2023,1,4,72.1,27.9,1,51.47,133.72,185.19,185.19,133.72,2,14.5,71,83,0,0,1,5,2,24,1,0,1,Classroom,2,0,1.6,1152.53,1350,4440,7795.11,5,0,0,0,20.0,0.76
B-202301-46421,Booked,TechCorp Solutions,Town Hall Meeting,Corporate,Hybrid,Full Package,Technology,Technology,Cvent,Medium,2022-10-26,2022-11-20,14,2023-01-23,2023-01-24,1,89,36,36,41,1,Half Ballroom,1,1,11,1.0,10446.8,3,49.5,143.52,130.16,4685.76,1350.92,3148.25,9184.93,29,3774.64,1350.92,2998.33,8123.89,0.8055555555555556,73.13,,2023,1,3,54.3,45.7,1,118.54,130.44,248.98,248.98,130.44,1,0.0,36,0,0,0,1,1,1,8,1,0,1,Classroom,3,1,3.0,1350.92,650,1248,2442.24,3,0,0,0,100.0,0.34
B-202301-93130,Booked,Personal Event,Milestone Birthday Party,Wedding/Social,In-person,Rooms Only,Social,Social/Private,Third-Party Planner,Low,2022-06-08,2022-07-07,25,2023-01-23,2023-01-24,1,229,16,16,17,0,,0,0,4,0.0,0.0,3,51.5,154.53,143.37,2293.92,0.0,0.0,2293.92,10,1433.7,0.0,0.0,1433.7,0.625,0.0,,2023,1,2,51.2,48.8,1,99.97,149.89,249.86,249.86,149.89,1,0.0,16,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-96673,Booked,Pharmaceutical Partners,Performance Review Summit,Corporate,In-person,Full Package,Healthcare,Healthcare,Third-Party Planner,Low,2022-10-09,2022-10-29,8,2023-01-23,2023-01-25,2,106,24,48,31,1,Breakout Room,1,1,12,0.0,0.0,1,46.7,148.68,137.64,6606.72,520.38,5446.92,12574.02,42,5780.88,520.38,5187.54,11488.8,0.875,167.34,,2023,1,3,70.0,30.0,1,91.76,152.27,244.03,244.03,152.27,2,33.3,16,24,0,0,1,2,2,16,0,0,1,Classroom,2,0,1.5,520.38,500,4712,7352.36,5,0,0,0,100.0,0.78
B-202301-86484,Booked,Social Event,Williams-Brown Wedding,Wedding/Social,In-person,Rooms Only,Social,Social/Private,Referral,Low,2022-08-27,2022-10-07,35,2023-01-24,2023-01-25,1,150,39,39,42,0,,0,1,6,1.0,6252.64,1,49.1,144.94,126.61,4937.79,0.0,0.0,4937.79,25,3165.25,0.0,0.0,3165.25,0.6410256410256411,0.0,,2023,1,2,59.2,40.8,1,25.07,152.11,177.18,177.18,152.11,1,0.0,39,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-70217,Booked,Accounting Institute,Certification Training,Association,In-person,Full Package,Finance,Finance,Referral,Low,2022-05-13,2022-06-14,25,2023-01-26,2023-01-28,2,258,15,30,17,1,Breakout Room,1,1,7,0.0,0.0,2,45.3,152.61,131.69,3950.7,473.65,2960.6,7384.95,22,2897.18,473.65,2819.62,6190.45,0.7333333333333333,165.86,,2023,1,4,57.5,42.5,1,67.96,126.33,194.29,194.29,131.27,2,20.0,12,15,0,0,1,2,2,16,0,0,1,Theater,2,0,2.0,473.65,700,1819,4451.02,4,0,0,0,100.0,0.42
B-202301-25860,Booked,Family Celebration,Graduation Celebration,Wedding/Social,In-person,Full Package,Social,Social/Private,RFP,Low,2022-02-01,2022-03-21,41,2023-01-29,2023-01-30,1,362,11,11,12,1,Boardroom,1,1,7,0.0,0.0,2,46.8,153.82,140.18,1541.98,398.69,1690.92,3631.59,6,841.08,398.69,1610.4,2850.17,0.5454545454545454,134.2,,2023,1,2,55.7,44.3,0,127.93,160.07,288.0,0.0,160.07,1,0.0,11,0,0,0,1,2,1,8,0,1,1,Boardroom,2,0,1.0,398.69,350,540,2086.71,1,0,1,1,0.0,0.86
B-202301-99399,Booked,Pharmaceutical Partners,Executive Offsite,Corporate,In-person,Rooms Only,Healthcare,Healthcare,Direct Inquiry,Medium,2022-12-30,2023-01-14,10,2023-01-29,2023-01-31,2,30,47,94,51,0,,0,0,5,0.0,0.0,1,45.3,148.04,137.43,12918.42,0.0,0.0,12918.42,80,10994.4,0.0,0.0,10994.4,0.851063829787234,0.0,,2023,1,4,63.9,36.1,1,141.34,143.03,284.37,226.54,143.03,2,23.4,36,47,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-97782,Booked,Accounting Institute,Networking Summit,Association,In-person,Full Package,Finance,Finance,Website,High,2022-05-19,2022-06-17,15,2023-01-30,2023-02-02,3,256,113,339,132,1,Grand Ballroom,1,1,14,0.0,0.0,2,48.7,145.69,130.06,44090.34,2009.0,27783.76,73883.1,266,34595.96,2009.0,26460.72,63065.68,0.7846607669616519,200.46,,2023,1,2,53.5,46.5,1,89.26,152.98,242.24,242.24,152.98,2,2.7,106,113,112,0,2,3,3,24,1,0,1,Classroom,2,0,2.0,2009.0,1050,25608,34207.34,5,0,0,0,100.0,0.55
B-202301-44237,Booked,Insurance Federation,Policy Symposium,Association,In-person,Full Package,Finance,Finance,Website,Low,2022-05-03,2022-06-06,23,2023-01-31,2023-02-03,3,273,23,69,29,1,Breakout Room,1,0,11,0.0,0.0,3,50.9,149.06,126.98,8761.62,564.6,7235.22,16561.44,43,5460.14,564.6,6890.69,12915.43,0.6231884057971014,237.61,,2023,1,3,50.7,49.3,0,126.62,145.8,272.42,0.0,149.3,2,14.3,20,23,15,0,1,3,3,24,0,0,1,Classroom,2,0,2.0,564.6,1050,4988,9212.45,4,0,0,0,100.0,0.72
B-202302-16826,Booked,Private Individual,Milestone Birthday Party,Wedding/Social,In-person,Full Package,Social,Social/Private,RFP,Low,2022-03-04,2022-04-23,36,2023-02-01,2023-02-02,1,334,18,18,21,1,Breakout Room,1,1,14,1.0,7778.24,2,55.1,155.85,137.59,2476.62,569.26,3126.91,6172.79,11,1513.49,569.26,2978.01,5060.76,0.6111111111111112,141.81,,2023,2,3,68.7,31.3,1,73.97,151.15,225.12,225.12,151.15,1,0.0,18,0,0,0,1,2,1,8,0,0,1,Banquet,2,0,1.5,569.26,500,1155,2900.17,1,1,0,1,0.0,0.53
B-202302-40784,Booked,Personal Event,Milestone Birthday Party,Wedding/Social,In-person,Full Package,Social,Social/Private,Website,Low,2022-02-26,2022-04-03,26,2023-02-03,2023-02-04,1,342,11,11,12,1,Boardroom,1,1,10,0.0,0.0,3,63.7,152.22,126.65,1393.15,300.75,1548.29,3242.19,5,633.25,300.75,1474.56,2408.56,0.4545454545454545,122.88,,2023,2,2,53.5,46.5,1,28.16,144.92,173.08,173.08,144.92,1,0.0,11,0,0,0,1,2,1,8,0,1,1,Boardroom,2,0,1.5,300.75,500,540,2226.56,1,0,1,1,0.0,0.86
B-202302-53369,Booked,Regional Healthcare System,Board of Directors Meeting,Corporate,Hybrid,Meeting Only,Healthcare,Healthcare,Third-Party Planner,Low,2022-11-03,2022-11-15,7,2023-02-03,2023-02-04,1,92,0,0,84,1,Half Ballroom,0,1,5,0.0,0.0,2,53.6,156.38,0.0,0.0,1578.53,2479.3,4057.83,0,0.0,1578.53,2361.24,3939.77,,28.11,,2023,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,2,2,1,12,1,0,1,Theater,2,0,1.5,1578.53,500,1848,3181.25,4,0,0,0,50.0,0.7
B-202302-57472,Booked,Technology Innovators,Annual Sales Conference,Corporate,In-person,Full Package,Technology,Technology,RFP,Medium,2022-11-19,2022-12-09,13,2023-02-04,2023-02-05,1,77,72,72,94,1,Half Ballroom,1,0,7,0.0,0.0,2,50.7,155.06,142.51,10260.72,1159.15,2703.39,14123.26,57,8123.07,1159.15,2574.66,11856.88,0.7916666666666666,27.39,,2023,2,4,69.3,30.7,0,155.86,129.47,285.33,0.0,129.47,1,0.0,72,0,0,0,1,3,1,12,1,0,1,Theater,3,1,2.0,1159.15,1150,2406,4638.09,3,0,0,0,0.0,0.78
B-202302-64548,Booked,Global Industries,Executive Offsite,Corporate,In-person,Full Package,Finance,Other,Third-Party Planner,Medium,2022-11-04,2022-11-29,14,2023-02-04,2023-02-07,3,92,46,138,61,1,Half Ballroom,1,0,11,0.0,0.0,1,57.1,151.09,139.0,19182.0,1364.52,14365.77,34912.29,117,16263.0,1364.52,13681.69,31309.21,0.8478260869565217,224.29,,2023,2,4,56.3,43.7,1,114.1,130.28,244.38,244.38,130.28,2,9.4,36,46,44,0,1,3,3,24,1,0,1,Classroom,2,0,1.67,1364.52,850,5688,8397.04,4,0,0,0,100.0,0.51
B-202302-69048,Booked,Personal Event,Williams-Brown Wedding,Wedding/Social,In-person,Rooms Only,Social,Social/Private,Repeat Client,Medium,2022-04-29,2022-06-04,31,2023-02-06,2023-02-07,1,283,36,36,39,0,,0,0,5,0.0,0.0,1,59.7,156.89,135.13,4864.68,0.0,0.0,4864.68,20,2702.6,0.0,0.0,2702.6,0.5555555555555556,0.0,,2023,2,2,74.0,26.0,1,22.1,158.06,180.16,180.16,180.16,1,0.0,36,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-47752,Booked,State Medical Association,Committee Meeting,Association,Hybrid,Full Package,Healthcare,Healthcare,Third-Party Planner,High,2022-07-17,2022-08-12,16,2023-02-09,2023-02-12,3,207,100,300,136,1,Grand Ballroom,1,0,10,0.0,0.0,1,51.8,162.15,146.76,44028.0,2872.58,30290.74,77191.32,207,30379.32,2872.58,28848.32,62100.22,0.69,212.12,,2023,2,2,69.4,30.6,1,101.52,137.13,238.65,238.65,137.13,2,4.3,90,100,98,0,2,3,3,24,1,0,1,Theater,3,1,2.67,2872.58,1650,22984,32190.95,5,0,0,0,100.0,0.57
B-202302-74722,Booked,Nonprofit Foundation,Military Reunion,SMERF,In-person,Full Package,Technology,Technology,Sales Call,Low,2022-12-15,2023-01-14,19,2023-02-09,2023-02-10,1,56,30,30,33,1,Breakout Room,1,0,11,0.0,0.0,3,59.5,150.07,139.06,4171.8,470.88,1153.5,5796.18,22,3059.32,470.88,1098.57,4628.77,0.7333333333333333,33.29,,2023,2,2,53.1,46.9,0,124.46,153.06,277.52,0.0,153.06,1,0.0,30,0,0,0,1,2,1,8,0,0,1,Theater,1,0,1.0,470.88,300,1551,3008.7,2,0,0,0,0.0,0.82
B-202302-80236,Booked,Banking Consortium,Leadership Summit,Corporate,In-person,Full Package,Finance,Finance,Third-Party Planner,Medium,2022-10-06,2022-11-01,14,2023-02-11,2023-02-13,2,128,36,72,41,1,Half Ballroom,1,1,12,0.0,0.0,3,51.8,154.56,133.77,9631.44,1296.11,7013.28,17940.83,62,8293.74,1296.11,6679.31,16269.16,0.8611111111111112,162.91,,2023,2,2,63.5,36.5,1,89.13,194.73,283.86,194.73,283.86,2,11.1,32,36,0,0,1,2,2,16,1,0,1,Theater,1,0,1.0,1296.11,300,2808,4372.62,5,0,0,0,100.0,0.34
B-202302-80798,Booked,Financial Services Group,Executive Offsite,Corporate,In-person,Rooms Only,Finance,Finance,Referral,Low,2022-11-15,2022-11-28,7,2023-02-11,2023-02-12,1,88,30,30,33,0,,0,1,6,1.0,4295.28,2,59.8,153.23,126.42,3792.6,0.0,0.0,3792.6,25,3160.5,0.0,0.0,3160.5,0.8333333333333334,0.0,,2023,2,4,62.8,37.2,1,134.62,147.18,281.8,240.46,154.4,1,0.0,30,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-97062,Booked,Retail Corporation,Annual Sales Conference,Corporate,In-person,Full Package,Finance,Other,Third-Party Planner,Low,2022-12-25,2023-01-12,9,2023-02-12,2023-02-13,1,49,48,48,61,1,Half Ballroom,1,0,9,1.0,14509.65,2,57.3,154.9,129.52,6216.96,1521.07,5334.72,13072.75,42,5439.84,1521.07,5080.69,12041.6,0.875,83.29,,2023,2,3,68.6,31.4,1,100.63,146.39,247.02,247.02,146.39,1,0.0,48,0,0,0,2,1,1,8,1,0,1,Classroom,2,0,2.0,1521.07,350,1560,2512.17,3,0,0,0,100.0,0.51
